Agent,Grid Size,Number of Colors,Mean regenerations during init,Median regenerations during init,Mean Matches Occurred during init,Median Matches Occurred during init,Mean Deadlocks during init,Median Deadlocks during init,Mean Shuffles/Deadlocks Occurred per move,Median Shuffles/Deadlocks Occurred per move,Mean Shuffles/Deadlocks Occurred per game,Median Shuffles/Deadlocks Occurred per game,Mean score per Game Setting,Median score per Game Setting,Mean Valid Moves Made,Median Valid Moves Made,Mean Possible/Playable Moves per config,Median Possible/Playable Moves per config,Mean Avalanche Matches per game,Median Avalanche Matches per game,Mean deterministic score after first move,Median deterministic score after first move,Mean non-deterministic score after first move,Median non-deterministic score after first move
top_agent,"(5, 5)",4,5.4,3.5,4.53,2.5,0.87,1.0,0.00040999999999999994,0.0,0.0041,0.0,59.82639999999999,59.93,10.0,10.0,7.3374,7.333,6.896800000000001,6.93,3.31,3.0,2.4632,1.88
top_agent,"(5, 5)",5,2.2,1.0,1.545,0.0,0.655,1.0,0.014910000000000001,0.012,0.14910000000000004,0.12,47.4107,47.129999999999995,10.0,10.0,4.94381,4.879,4.3915,4.390000000000001,3.165,3.0,1.7362,1.21
top_agent,"(5, 5)",10,0.715,0.0,0.15,0.0,0.565,0.0,0.5666899999999999,0.573,5.666899999999999,5.73,33.3846,33.29,10.0,10.0,4.85002,4.835,1.5612000000000001,1.56,3.025,3.0,0.3186,0.12
top_agent,"(5, 5)",15,1.335,1.0,0.16,0.0,1.175,1.0,2.19311577306,2.1109999999999998,21.7744,21.1,31.199700000000004,31.18,9.9444,10.0,5.151668507365,5.197609658,1.1875,1.18,3.01,3.0,0.10640000000000001,0.06
top_agent,"(5, 5)",20,2.26,1.0,0.17,0.0,2.09,1.0,10.080288433855001,9.035660640500002,77.1969,76.08000000000001,25.100299999999997,26.04,8.1677,8.53,4.92006451641,4.9121717865,0.8411,0.84,3.02,3.0,0.07970000000000001,0.0
top_agent,"(5, 5)",25,4.295,3.0,0.2,0.0,4.095,3.0,24.034281275949997,21.14892337,113.404,113.25999999999999,16.1006,16.630000000000003,5.2737,5.470000000000001,4.306530922505,4.3958384635000005,0.5022,0.49,3.02,3.0,0.0733,0.0
top_agent,"(10, 10)",10,3.52,2.0,2.68,1.0,0.84,1.0,0.0137,0.002,0.13699999999999998,0.02,35.9927,35.58,10.0,10.0,8.13167,7.4670000000000005,1.6458,1.53,3.055,3.0,0.3949,0.15000000000000002
top_agent,"(10, 10)",15,0.97,0.5,0.46,0.0,0.51,0.5,0.14566,0.151,1.4566000000000003,1.51,32.858599999999996,32.7,10.0,10.0,14.559090000000001,14.773,1.1872,1.18,3.02,3.0,0.1607,0.06
top_agent,"(10, 10)",20,0.65,0.0,0.2,0.0,0.45,0.0,0.33287999999999995,0.34299999999999997,3.3287999999999998,3.4299999999999997,31.871,31.68,10.0,10.0,18.59231,19.092,1.1428,1.12,3.035,3.0,0.1234,0.0
top_agent,"(10, 10)",25,0.6,0.0,0.145,0.0,0.455,0.0,0.55149,0.5569999999999999,5.5149,5.57,31.176799999999993,31.1,10.0,10.0,20.36914,20.64,1.1009,1.12,3.015,3.0,0.0421,0.0
top_agent,"(10, 10)",30,0.835,0.0,0.135,0.0,0.7,0.0,0.85375,0.867,8.5375,8.67,30.8409,30.8,10.0,10.0,20.59971,20.692,1.0346000000000002,1.04,3.005,3.0,0.04630000000000001,0.0
top_agent,"(10, 10)",35,1.185,1.0,0.175,0.0,1.01,1.0,1.21824,1.214,12.1824,12.14,30.5896,30.58,10.0,10.0,21.55326,21.454,1.0305,1.02,3.0,3.0,0.022199999999999998,0.0
top_agent,"(10, 10)",40,1.345,1.0,0.17,0.0,1.175,1.0,1.62053,1.6019999999999999,16.2053,16.02,30.485300000000002,30.44,10.0,10.0,22.128809999999998,22.232,1.0411,1.04,3.01,3.0,0.028200000000000003,0.0
top_agent,"(10, 10)",45,1.955,1.0,0.17,0.0,1.785,1.0,2.15155,2.1399999999999997,21.515500000000003,21.4,30.396,30.34,10.0,10.0,22.139789999999998,21.917,1.0212,1.0,3.0,3.0,0.0446,0.0
top_agent,"(10, 10)",50,2.3,2.0,0.14,0.0,2.16,2.0,2.8157300000000003,2.786,28.1573,27.86,30.331300000000002,30.3,10.0,10.0,22.237640000000003,22.152,1.0131000000000001,1.0,3.025,3.0,0.023900000000000005,0.0
top_agent,"(10, 10)",60,3.475,2.0,0.155,0.0,3.32,2.0,4.119870000000001,4.041,41.1987,40.41,30.2005,30.18,10.0,10.0,22.393330000000002,22.159,0.9977000000000001,1.0,3.0,3.0,0.006299999999999999,0.0
top_agent,"(10, 10)",70,4.695,3.0,0.16,0.0,4.535,3.0,6.36063282856,6.039,63.599,60.39,30.1446,30.14,9.999,10.0,22.071811896499998,22.094,0.9742000000000001,0.98,3.0,3.0,0.0060999999999999995,0.0
top_agent,"(10, 10)",80,5.7,4.0,0.15,0.0,5.55,4.0,8.93427956779,8.421,89.0552,84.21000000000001,30.0455,30.08,9.979800000000001,10.0,21.8820624637,21.728,0.9607000000000001,0.98,3.0,3.0,0.0042,0.0
top_agent,"(10, 10)",90,7.52,5.0,0.185,0.0,7.335,5.0,13.30970820305,12.41902834,130.07659999999998,122.96,29.619699999999998,29.94,9.8466,9.96,22.07004915585,21.75032998,0.9585999999999999,0.95,3.0,3.0,0.0024,0.0
top_agent,"(10, 10)",100,10.215,7.0,0.095,0.0,10.12,7.0,17.4044930366,16.641683774999997,164.332,162.26,28.845399999999998,29.42,9.586500000000001,9.78,22.0248138571,21.835295020000004,0.9421,0.9299999999999999,3.005,3.0,0.0189,0.0
top_agent,"(15, 15)",10,24.653846153846153,14.5,23.653846153846153,13.5,1.0,1.0,0.0,0.0,0.0,0.0,36.24153846153846,35.7,10.0,10.0,18.636307692307692,18.22,1.7007692307692308,1.6400000000000001,3.0,3.0,0.43076923076923074,0.29000000000000004
top_agent,"(15, 15)",15,4.13,3.0,3.295,2.0,0.835,1.0,0.01592,0.0,0.1592,0.0,33.641,32.95,10.0,10.0,12.42622,9.268999999999998,1.0156,0.79,3.025,3.0,0.20929999999999999,0.06
top_agent,"(15, 15)",20,1.23,1.0,0.63,0.0,0.6,1.0,0.08876,0.102,0.8876,1.02,32.5392,32.21,10.0,10.0,25.67673,28.362000000000002,0.9522999999999999,0.92,3.02,3.0,0.09500000000000001,0.06
top_agent,"(15, 15)",25,0.895,0.0,0.425,0.0,0.47,0.0,0.1729,0.17800000000000002,1.7289999999999999,1.78,31.87,31.58,10.0,10.0,34.025150000000004,34.231,0.9669000000000001,0.94,3.03,3.0,0.06699999999999999,0.0
top_agent,"(15, 15)",30,0.68,0.0,0.225,0.0,0.455,0.0,0.27897,0.28600000000000003,2.7897000000000003,2.86,31.4088,31.24,10.0,10.0,40.13106,40.371,1.0101,0.98,3.02,3.0,0.049600000000000005,0.0
top_agent,"(15, 15)",35,0.62,0.0,0.195,0.0,0.425,0.0,0.4003400000000001,0.405,4.0034,4.05,31.124899999999997,31.0,10.0,10.0,43.72878000000001,43.928,1.0259,1.0,3.03,3.0,0.0501,0.0
top_agent,"(15, 15)",40,0.655,0.0,0.155,0.0,0.5,0.0,0.52449,0.528,5.2449,5.28,30.818900000000003,30.74,10.0,10.0,45.439350000000005,45.841,1.0090999999999999,1.0,3.005,3.0,0.045,0.0
top_agent,"(15, 15)",45,0.605,0.0,0.09,0.0,0.515,0.0,0.6909299999999999,0.6910000000000001,6.909300000000001,6.91,30.6849,30.64,10.0,10.0,47.477700000000006,47.80500000000001,1.0223,1.03,3.0,3.0,0.028399999999999998,0.0
top_agent,"(15, 15)",50,0.845,0.0,0.15,0.0,0.695,0.0,0.85273,0.865,8.5273,8.65,30.5392,30.52,10.0,10.0,48.51209,47.739999999999995,1.0193,1.02,3.0,3.0,0.0081,0.0
top_agent,"(15, 15)",100,3.41,2.0,0.09,0.0,3.32,2.0,3.6682500000000005,3.6060000000000003,36.6825,36.06,30.139799999999994,30.12,10.0,10.0,50.47985,49.730000000000004,1.0044,1.02,3.005,3.0,0.0045,0.0
top_agent,"(15, 15)",150,7.87,5.0,0.09,0.0,7.78,5.0,9.16026204655,8.968,91.58349999999999,89.68,30.0636,30.06,9.998399999999998,10.0,50.60643393725,50.45,0.9926,0.98,3.0,3.0,0.0021,0.0
top_agent,"(15, 15)",200,12.71,10.0,0.125,0.0,12.585,10.0,18.134064999099998,17.56783716,175.74599999999998,172.2,29.315299999999997,29.66,9.759300000000001,9.88,49.66741380175,49.3666148,0.9531000000000001,0.96,3.005,3.0,0.0012,0.0
top_agent,"(15, 15)",250,15.0,10.0,0.0,0.0,15.0,10.0,29.422729531999998,28.637403485,251.30599999999998,248.43,26.1,26.689999999999998,8.688,8.870000000000001,51.015610219,50.34625646,0.8620000000000001,0.89,3.0,3.0,0.0,0.0
top_agent,"(9, 9)",6,22.916666666666668,16.5,22.083333333333332,15.5,0.8333333333333334,1.0,0.0,0.0,0.0,0.0,45.55166666666667,45.83,10.0,10.0,16.186833333333333,17.22,3.8716666666666675,4.01,3.0833333333333335,3.0,0.7650000000000001,0.69
top_agent,"(9, 9)",7,9.055,6.0,8.14,5.0,0.915,1.0,0.00021,0.0,0.0021000000000000003,0.0,41.299,40.7,10.0,10.0,11.30802,10.875,2.9288,2.8,3.19,3.0,0.8047,0.52
top_agent,"(9, 9)",8,5.735,4.0,4.86,3.0,0.875,1.0,0.00341,0.0,0.0341,0.0,38.9255,38.41,10.0,10.0,8.135340000000001,7.683999999999999,2.4523,2.3499999999999996,3.075,3.0,0.9272,0.43
top_agent,"(9, 9)",9,2.99,2.0,2.225,1.0,0.765,1.0,0.01413,0.004,0.1413,0.04,36.8183,36.36,10.0,10.0,7.53278,7.173,1.8631,1.78,3.075,3.0,0.4599,0.24
top_agent,"(9, 9)",10,2.26,2.0,1.505,1.0,0.755,1.0,0.03365,0.021,0.33649999999999997,0.21000000000000002,35.523900000000005,35.02,10.0,10.0,7.95866,7.267,1.6059999999999997,1.48,3.045,3.0,0.4114,0.16
top_agent,"(9, 9)",12,1.495,1.0,0.905,0.0,0.59,1.0,0.0949,0.10400000000000001,0.9490000000000001,1.04,34.404900000000005,33.89,10.0,10.0,10.249839999999999,10.48,1.4795000000000003,1.41,3.06,3.0,0.3765,0.12
top_agent,"(9, 9)",14,0.93,0.0,0.43,0.0,0.5,0.0,0.16587,0.173,1.6587,1.73,33.1905,32.88,10.0,10.0,12.24486,12.543,1.2911000000000001,1.24,3.055,3.0,0.19760000000000003,0.06
top_agent,"(9, 9)",16,0.655,0.0,0.235,0.0,0.42,0.0,0.25088,0.253,2.5088000000000004,2.5300000000000002,32.4749,32.29,10.0,10.0,13.721060000000001,13.664,1.2213,1.18,3.02,3.0,0.17259999999999998,0.06
