Agent,Grid Size,Number of Colors,Mean regenerations during init,Median regenerations during init,Mean Matches Occurred during init,Median Matches Occurred during init,Mean Deadlocks during init,Median Deadlocks during init,Mean Shuffles/Deadlocks Occurred per move,Median Shuffles/Deadlocks Occurred per move,Mean Shuffles/Deadlocks Occurred per game,Median Shuffles/Deadlocks Occurred per game,Mean score per Game Setting,Median score per Game Setting,Mean Valid Moves Made,Median Valid Moves Made,Mean Possible/Playable Moves per config,Median Possible/Playable Moves per config,Mean Avalanche Matches per game,Median Avalanche Matches per game,Mean deterministic score after first move,Median deterministic score after first move,Std deterministic score after first move,Mean non-deterministic score after first move,Median non-deterministic score after first move,Mean avalanche matches after first move,Median avalanche matches after first move
top_agent,"(5, 5)",5,1.96,1.0,1.3,0.0,0.66,1.0,0.01,0.01,0.14,0.12,47.05,46.83,10.0,10.0,4.99,4.9,4.31,4.25,3.2,3.0,0.7,1.38,0.93,0.39,0.3
top_agent,"(5, 5)",6,1.11,1.0,0.56,0.0,0.55,1.0,0.07,0.06,0.66,0.62,40.75,40.58,10.0,10.0,4.21,4.18,2.96,2.93,3.14,3.0,0.53,0.94,0.71,0.28,0.22
top_agent,"(5, 5)",7,1.0,0.0,0.46,0.0,0.54,0.0,0.15,0.14,1.47,1.42,37.62,37.43,10.0,10.0,4.23,4.17,2.34,2.32,3.06,3.0,0.27,0.68,0.42,0.21,0.14
top_agent,"(5, 5)",8,1.02,1.0,0.38,0.0,0.64,1.0,0.26,0.26,2.62,2.64,35.62,35.36,10.0,10.0,4.42,4.39,1.95,1.9,3.09,3.0,0.46,0.55,0.3,0.17,0.1
top_agent,"(5, 5)",9,0.71,0.0,0.18,0.0,0.54,0.0,0.4,0.4,3.98,4.0,34.28,34.16,10.0,10.0,4.65,4.64,1.69,1.68,3.06,3.0,0.4,0.35,0.18,0.11,0.06
top_agent,"(5, 5)",10,0.64,0.0,0.13,0.0,0.52,0.0,0.56,0.55,5.59,5.53,33.5,33.3,10.0,10.0,4.81,4.76,1.56,1.57,3.08,3.0,0.44,0.32,0.12,0.1,0.04
top_agent,"(10, 10)",10,3.32,2.0,2.56,1.0,0.76,1.0,0.01,0.0,0.14,0.02,36.03,35.29,10.0,10.0,8.08,7.6,1.66,1.46,3.12,3.0,0.5,0.45,0.18,0.14,0.06
top_agent,"(10, 10)",12,1.6,1.0,0.96,0.0,0.64,1.0,0.05,0.04,0.52,0.45,34.54,34.08,10.0,10.0,10.01,9.07,1.37,1.28,3.06,3.0,0.35,0.32,0.12,0.1,0.04
top_agent,"(10, 10)",14,1.08,1.0,0.56,0.0,0.52,1.0,0.11,0.12,1.13,1.17,33.35,33.12,10.0,10.0,13.38,13.6,1.25,1.19,3.04,3.0,0.25,0.22,0.06,0.07,0.02
top_agent,"(10, 10)",15,1.04,1.0,0.5,0.0,0.54,1.0,0.14,0.15,1.38,1.46,32.88,32.71,10.0,10.0,14.07,14.28,1.16,1.12,3.05,3.0,0.24,0.16,0.06,0.05,0.02
