Agent,Grid Size,Number of Colors,Total No. of Regenerations until valid board generation,Total No. of Times Matches Occurred during init,Total No. of Deadlocks during init,Total No. of Shuffles/Deadlocks Occurred,Avg No. of Shuffles/Deadlocks Occurred per move,Avg No. of Shuffles/Deadlocks Occurred per game,Total score per Game Setting,Avg score per Game Setting,Total Valid Moves Made,Avg Valid Moves Made,Total No. of Possible/Playable Moves,Avg No. of Possible/Playable Moves per config,Total No. of Avalanche Matches,Avg No. of Avalanche Matches per game,Total Moves Available per Game Setting,Total deterministic score after first move,Avg deterministic score after first move,Total non-deterministic score after first move,Avg non-deterministic score after first move,Total avalanche count after first move
top_agent,"(5, 5)",4,0,0,0,0,0,0,2770,55.4,500,10,3447,6.894,300,6,10,150,3,55,1.1,17
bottom_agent,"(5, 5)",4,0,0,0,0,0,0,3760,75.2,500,10,3358,6.716,539,10.78,10,150,3,304,6.08,86
top_agent,"(5, 5)",4,11,10,1,0,0,0,3171,63.42,500,10,3412,6.824,403,8.06,10,150,3,94,1.88,29
bottom_agent,"(5, 5)",4,11,10,1,0,0,0,3287,65.74,500,10,3300,6.6,404,8.08,10,150,3,54,1.08,16
top_agent,"(5, 5)",4,5,4,1,0,0,0,3020,60.4,500,10,3817,7.634,349,6.98,10,150,3,23,0.46,7
bottom_agent,"(5, 5)",4,5,4,1,0,0,0,3286,65.72,500,10,3730,7.46,431,8.62,10,150,3,119,2.38,35
top_agent,"(5, 5)",4,2,1,1,1,0.002,0.02,2802,56.04,500,10,3500,7,324,6.48,10,150,3,143,2.86,43
bottom_agent,"(5, 5)",4,2,1,1,0,0,0,3390,67.8,500,10,3534,7.068,446,8.92,10,150,3,85,1.7,26
top_agent,"(5, 5)",4,11,10,1,0,0,0,3380,67.6,500,10,3803,7.606,395,7.9,10,300,6,227,4.54,51
bottom_agent,"(5, 5)",4,11,10,1,0,0,0,3655,73.1,500,10,3787,7.574,451,9.02,10,300,6,209,4.18,53
top_agent,"(5, 5)",4,2,1,1,0,0,0,3230,64.6,500,10,4071,8.142,401,8.02,10,150,3,9,0.18,3
bottom_agent,"(5, 5)",4,2,1,1,0,0,0,4042,80.84,500,10,3697,7.394,529,10.58,10,300,6,453,9.06,104
top_agent,"(5, 5)",4,4,3,1,1,0.002,0.02,2862,57.24,500,10,4099,8.198,328,6.56,10,150,3,214,4.28,63
bottom_agent,"(5, 5)",4,4,3,1,0,0,0,3415,68.3,500,10,3582,7.164,426,8.52,10,200,4,114,2.28,34
top_agent,"(5, 5)",4,6,5,1,0,0,0,3211,64.22,500,10,3576,7.152,364,7.28,10,150,3,183,3.66,47
bottom_agent,"(5, 5)",4,6,5,1,0,0,0,3685,73.7,500,10,3541,7.082,466,9.32,10,350,7,169,3.38,42
top_agent,"(5, 5)",4,8,7,1,0,0,0,2914,58.28,500,10,3349,6.698,349,6.98,10,150,3,29,0.58,9
bottom_agent,"(5, 5)",4,8,7,1,0,0,0,3482,69.64,500,10,3468,6.936,452,9.04,10,150,3,24,0.48,8
top_agent,"(5, 5)",4,2,1,1,1,0.002,0.02,2986,59.72,500,10,3961,7.922,336,6.72,10,150,3,31,0.62,9
bottom_agent,"(5, 5)",4,2,1,1,0,0,0,3400,68,500,10,3686,7.372,454,9.08,10,150,3,258,5.16,67
top_agent,"(5, 5)",4,4,3,1,0,0,0,3360,67.2,500,10,3828,7.656,394,7.88,10,350,7,308,6.16,73
bottom_agent,"(5, 5)",4,4,3,1,0,0,0,3800,76,500,10,3803,7.606,487,9.74,10,150,3,456,9.12,90
top_agent,"(5, 5)",4,2,1,1,0,0,0,3267,65.34,500,10,3693,7.386,402,8.04,10,150,3,189,3.78,50
bottom_agent,"(5, 5)",4,2,1,1,1,0.002,0.02,3392,67.84,500,10,3524,7.048,439,8.78,10,150,3,51,1.02,15
top_agent,"(5, 5)",4,15,14,1,0,0,0,3033,60.66,500,10,3569,7.138,356,7.12,10,150,3,92,1.84,30
bottom_agent,"(5, 5)",4,15,14,1,0,0,0,3227,64.54,500,10,3464,6.928,379,7.58,10,150,3,21,0.42,6
