Agent,Grid Size,Number of Colors,Total No. of Regenerations until valid board generation,Total No. of Times Matches Occurred during init,Total No. of Deadlocks during init,Total No. of Shuffles/Deadlocks Occurred,Avg No. of Shuffles/Deadlocks Occurred per move,Total score per Game Setting,Avg score per Game Setting,Total Valid Moves Made,Avg Valid Moves Made,Total No. of Possible/Playable Moves,Avg No. of Possible/Playable Moves per config,Total No. of Avalanche Matches,Avg No. of Avalanche Matches per move,Total Moves Available per Game Setting,Total deterministic score after first move,Avg deterministic score after first move,Total non-deterministic score after first move,Avg non-deterministic score after first move,Total avalanche count after first move
top_agent,"(10, 10)",10,1,0,1,0,0,1630,32.6,500,10,2434,4.868,39,0.078,10,150,3,6,0.12,2
bottom_agent,"(10, 10)",10,1,0,1,24,0.048,1907,38.14,500,10,5724,11.448,122,0.244,10,150,3,3,0.06,1
NotApplicable,"(10, 10)",5,100,100,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
top_agent,"(10, 10)",10,4,3,1,0,0,1655,33.1,500,10,3120,6.24,47,0.094,10,150,3,0,0,0
bottom_agent,"(10, 10)",10,4,3,1,0,0,1649,32.98,500,10,2617,5.234,42,0.084,10,150,3,0,0,0
top_agent,"(10, 10)",10,2,1,1,0,0,1718,34.36,500,10,4794,9.588,52,0.104,10,150,3,15,0.3,5
bottom_agent,"(10, 10)",10,2,1,1,0,0,1846,36.92,500,10,4728,9.456,111,0.222,10,150,3,175,3.5,57
top_agent,"(10, 10)",10,7,6,1,13,0.026,1887,37.74,500,10,4103,8.206,118,0.236,10,150,3,53,1.06,15
bottom_agent,"(10, 10)",10,7,6,1,30,0.06,1765,35.3,500,10,5869,11.738,79,0.158,10,150,3,30,0.6,10
top_agent,"(10, 10)",10,4,3,1,10,0.02,1682,33.64,500,10,4245,8.49,57,0.114,10,150,3,6,0.12,2
bottom_agent,"(10, 10)",10,4,3,1,11,0.022,1707,34.14,500,10,4008,8.016,56,0.112,10,150,3,31,0.62,7
top_agent,"(10, 10)",10,7,6,1,0,0,1720,34.4,500,10,2678,5.356,64,0.128,10,150,3,33,0.66,11
bottom_agent,"(10, 10)",10,7,6,1,0,0,1932,38.64,500,10,2839,5.678,126,0.252,10,150,3,0,0,0
top_agent,"(10, 10)",10,1,0,1,0,0,1826,36.52,500,10,5339,10.678,82,0.164,10,150,3,0,0,0
bottom_agent,"(10, 10)",10,1,0,1,2,0.004,2153,43.06,500,10,3531,7.062,177,0.354,10,150,3,159,3.18,53
top_agent,"(10, 10)",10,2,1,1,24,0.048,1689,33.78,500,10,4643,9.286,55,0.11,10,150,3,6,0.12,2
bottom_agent,"(10, 10)",10,2,1,1,26,0.052,1736,34.72,500,10,5634,11.268,73,0.146,10,150,3,3,0.06,1
top_agent,"(10, 10)",10,2,1,1,0,0,1693,33.86,500,10,5519,11.038,58,0.116,10,150,3,6,0.12,2
bottom_agent,"(10, 10)",10,2,1,1,3,0.006,1662,33.24,500,10,4422,8.844,48,0.096,10,150,3,3,0.06,1
top_agent,"(10, 10)",10,4,3,1,3,0.006,1693,33.86,500,10,2619,5.238,57,0.114,10,150,3,6,0.12,2
bottom_agent,"(10, 10)",10,4,3,1,2,0.004,1769,35.38,500,10,2923,5.846,81,0.162,10,150,3,12,0.24,4
