Agent,Grid Size,Number of Colors,Total No. of Regenerations until valid board generation,Total No. of Times Matches Occurred during init,Total No. of Deadlocks during init,Total No. of Shuffles/Deadlocks Occurred,Avg No. of Shuffles/Deadlocks Occurred per move,Total score per Game Setting,Avg score per Game Setting,Total Valid Moves Made,Avg Valid Moves Made,Total No. of Possible/Playable Moves,Avg No. of Possible/Playable Moves,Total No. of Avalanche Matches,Avg No. of Avalanche Matches,Total Moves Available per Game Setting,Total deterministic score after first move,Avg deterministic score after first move,Total non-deterministic score after first move,Avg non-deterministic score after first move,Total avalanche count after first move,Avg avalanche count after first move
top_agent,"(9, 9)",6,0,0,0,0,0,2480,49.6,500,10,8610,17.22,237,4.74,10,150,3,6,0.12,2,0.04
bottom_agent,"(9, 9)",6,0,0,0,0,0,2721,54.42,500,10,10777,21.554,305,6.1,10,150,3,55,1.1,17,0.34
NotApplicable,"(9, 9)",4,100,100,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
NotApplicable,"(9, 9)",5,100,100,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
top_agent,"(9, 9)",6,32,31,1,0,0,2026,40.52,500,10,3351,6.702,125,2.5,10,150,3,33,0.66,11,0.22
bottom_agent,"(9, 9)",6,32,31,1,0,0,2388,47.76,500,10,4738,9.476,193,3.86,10,200,4,0,0,0,0
top_agent,"(9, 9)",6,72,71,1,0,0,2313,46.26,500,10,10126,20.252,211,4.22,10,150,3,110,2.2,26,0.52
bottom_agent,"(9, 9)",6,72,71,1,0,0,3141,62.82,500,10,8463,16.926,416,8.32,10,200,4,256,5.12,77,1.54
top_agent,"(9, 9)",6,8,7,1,0,0,2270,45.4,500,10,9610,19.22,184,3.68,10,200,4,51,1.02,15,0.3
bottom_agent,"(9, 9)",6,8,7,1,0,0,2656,53.12,500,10,8837,17.674,291,5.82,10,150,3,27,0.54,9,0.18
top_agent,"(9, 9)",6,7,6,1,0,0,2266,45.32,500,10,8736,17.472,201,4.02,10,150,3,27,0.54,8,0.16
