Agent,Grid Size,Number of Colors,Game Grid
top_agent,"(5, 5)",5,"[[ 7435, 14633, 14133, 11587,  5438],
 [ 8843, 18142, 18696, 14429,  6429],
 [ 7370, 14521, 14803, 11300,  4732],
 [ 2824,  5470,  5666,  4140,  1838],
 [ 1018,  1932,  2098,  1731,   792]],"
bottom_agent,"(5, 5)",5,"[[ 1331,  2634,  2875,  2747,  1418],
 [ 2619,  5451,  6792,  6725,  3419],
 [ 5234, 12124, 16828, 16904,  8056],
 [ 5947, 13597, 18689, 18435,  8912],
 [ 3442,  8031, 10947, 11182,  5661]],"
random_agent,"(5, 5)",5,"[[ 3114,  6118,  7559,  6057,  3245],
 [ 5906, 11174, 14217, 11113,  5717],
 [ 7041, 13036, 16980, 13708,  6757],
 [ 5537, 10135, 13675, 10542,  5410],
 [ 2708,  5206,  6866,  5413,  2766]],"
rl_agent,"(5, 5)",5,"[[  711,   934,  1049,  1287,   612],
 [ 1797,  7194, 10882,  7760,  2242],
 [ 2294, 15781, 21113, 16179,  1301],
 [ 2531, 19933, 22581, 20405,  3147],
 [ 3768,  9125, 10945, 13514,  2915]],"
top_agent,"(10, 10)",10,"[[1816, 2813, 3086, 3654, 3686, 3401, 3204, 2549, 1951, 1136],
 [1782, 3235, 4244, 4750, 4811, 4169, 3654, 3624, 3008, 1681],
 [1524, 3392, 4404, 4756, 4522, 4191, 3364, 3292, 2631, 1100],
 [1258, 2470, 3054, 3808, 3580, 2962, 3085, 2988, 2179, 1211],
 [1197, 2167, 2728, 3319, 3279, 2774, 2552, 2290, 1892, 1108],
 [1104, 2008, 2234, 2309, 2239, 2438, 2076, 1822, 1394,  623],
 [ 790, 1669, 1944, 1961, 1795, 1776, 1560, 1219, 1387,  986],
 [ 839, 1251, 1156, 1646, 1875, 1426, 1452, 1132,  819,  500],
 [ 536,  986,  684,  707,  541,  670,  648,  533,  412,  118],
 [ 127,  489,  373,  320,  397,  564,  492,  319,  201,  122]],"
bottom_agent,"(10, 10)",10,"[[ 326,  652,  921, 1172, 1093, 1055, 1126,  933,  778,  407],
 [ 653, 1202, 1437, 1689, 1610, 1550, 1707, 1522, 1401,  843],
 [1088, 2006, 2334, 2706, 2472, 2273, 2282, 2258, 2015,  907],
 [ 883, 1624, 2267, 2599, 2300, 2314, 2644, 2863, 2638, 1329],
 [ 973, 1940, 2303, 2797, 2569, 2486, 2681, 2639, 2110, 1088],
 [1054, 1995, 2142, 2385, 2876, 2993, 3036, 2754, 2140, 1246],
 [1195, 2106, 2304, 3385, 4156, 3637, 3138, 2401, 2501, 1306],
 [1344, 2516, 2722, 3540, 3775, 3192, 3418, 3068, 2468, 1068],
 [1231, 1785, 2278, 2572, 2482, 2502, 2816, 2776, 2388,  955],
 [ 647, 1060, 1544, 1249, 1426, 1762, 2435, 1681, 2689, 2396]],"
random_agent,"(10, 10)",10,"[[ 622, 1013, 1607, 1617, 1684, 1702, 1637, 1547, 1234,  694],
 [1215, 1874, 2793, 2732, 2657, 2524, 2308, 2544, 2106, 1159],
 [1424, 2387, 3164, 3184, 2902, 2846, 2672, 2804, 2237, 1155],
 [1302, 2265, 2723, 3185, 2933, 2683, 2832, 2931, 2309, 1385],
 [1261, 2294, 2606, 3030, 3051, 2720, 2713, 2646, 2045, 1362],
 [1188, 1941, 2474, 2680, 2875, 2827, 2700, 2462, 1855, 1039],
 [1293, 1895, 2333, 2764, 2931, 2671, 2617, 2302, 1962, 1066],
 [1238, 2148, 2262, 2774, 3095, 2552, 2349, 2180, 1719,  903],
 [1098, 1872, 1859, 1947, 1853, 1974, 2045, 1841, 1354,  630],
 [ 466, 1023, 1198, 1005, 1079, 1313, 1459, 1127,  902,  540]],"
rl_agent,"(10, 10)",10,"[[ 209,  428,  432,  996,  452,  377,  513,  566,  270,  205],  [ 893, 1646,  545, 1666, 1335, 1241, 1044,  813,  979,  690],  [ 480, 1154, 1129, 1080, 1241, 1890, 1149,  744, 1067,  656],  [1855, 2825, 2632, 2759, 3265, 3257, 2726, 2635, 1692, 1087],  [1104, 3021, 2749, 2048, 2694, 3420, 4136, 3476, 1307,  812],  [1707, 2882, 2852, 3323, 4891, 3289, 1826, 5977, 1898, 1017],  [1084, 2174, 3600, 3189, 4030, 4665, 4004, 5897, 1764, 1458],  [ 835, 2002, 3218, 2890, 3532, 4220, 3497, 2761, 2926, 1394],  [ 927, 1760, 3145, 2330, 2962, 3740, 3690, 2536, 2198,  883],  [ 452, 1131, 1551, 1394, 2030, 1381, 1571, 1055,  743,  329]],"
top_agent,"(15, 15)",15,"[[1218, 1558, 1106, 1492, 1179, 1000, 1069, 1185, 1228, 1235, 1463, 1201,
   905,  662,  289],
 [ 496, 1175, 1375, 1382, 1476, 1517, 1710, 1586, 1451, 1287, 1448, 1700,
  1280, 1228,  641],
 [ 680, 1438, 1716, 1683, 1763, 1648, 1694, 1645, 1609, 1890, 1780, 1853,
  1252, 1059,  584],
 [ 358,  796, 1416, 1750, 1620, 1242, 1261, 1634, 1628, 1644, 1530, 1368,
  1229,  982,  432],
 [ 569, 1072, 1219, 1356, 1419, 1408, 1239, 1276, 1611, 1200, 1206, 1361,
  1278,  797,  306],
 [ 680, 1078,  926, 1202, 1469, 1313, 1342, 1252, 1364, 1168, 1544, 1560,
  1183,  648,  303],
 [ 620,  974, 1088, 1285, 1483, 1462, 1630, 1313, 1203, 1104, 1291, 1194,
  1137,  919,  475],
 [ 408,  733, 1077, 1137, 1290, 1209,  996, 1020,  910,  739,  978,  887,
   795,  784,  547],
 [ 371,  660,  673,  950,  749,  989,  881,  858, 1240, 1381, 1153,  726,
   835,  772,  429],
 [ 381,  751,  919, 1114, 1136, 1169,  908,  940, 1045,  882,  794,  654,
   519,  425,  246],
 [ 290,  590,  634,  779,  965,  668,  398,  474,  739,  712,  454,  552,
   602,  320,  108],
 [ 207,  707,  755,  551,  474,  575,  652,  564,  613,  759,  534,  374,
   457,  714,  385],
 [ 369,  733,  558,  440,  439,  498,  382,  572,  694,  562,  246,  344,
   526,  468,  221],
 [ 284,  360,  224,  334,  444,  329,  285,  596,  661,  399,  259,  344,
   459,  416,  170],
 [  90,   51,  145,  205,  299,  420,  396,  361,  474,  426,  245,  190,
   108,   55,    0]],"
bottom_agent,"(15, 15)",15,"[[ 112,  328,  541,  601,  476,  440,  410,  432,  501,  447,  501,  534,
   401,  408,  172],
 [ 244,  506,  670,  620,  574,  622,  801,  719,  635,  574,  674,  872,
   666,  616,  313],
 [ 334,  847, 1123,  946,  789, 1001,  951, 1023, 1027,  785, 1015, 1053,
   827,  669,  374],
 [ 252,  653,  903, 1146,  987, 1127,  982, 1160, 1326, 1265, 1033,  946,
   801,  926,  498],
 [ 370,  630,  750, 1219,  969,  934,  687,  853, 1251, 1359, 1020,  936,
   905,  857,  394],
 [ 604,  776,  723,  864,  970, 1122, 1191, 1010,  978,  794,  928,  877,
   703,  638,  282],
 [ 493,  609, 1060, 1211, 1217,  950, 1164, 1178, 1257, 1142,  993, 1211,
  1021, 1171,  765],
 [ 607,  922, 1111, 1382, 1575, 1253, 1014, 1184,  924,  685,  898,  991,
   894,  787,  639],
 [ 370,  778,  997,  951, 1129, 1396, 1004,  963, 1323, 1553, 1530, 1492,
  1644,  987,  647],
 [ 283,  682, 1210, 1482, 1574, 1351, 1342, 1505, 1468, 1169, 1274, 1178,
   928,  715,  547],
 [ 376,  650,  816,  999, 1231, 1159, 1021,  834, 1147,  832,  580,  925,
   710,  479,  290],
 [ 308,  777, 1000, 1286, 1138, 1017, 1032,  973, 1103, 1063, 1012,  815,
   871,  901,  701],
 [ 505, 1325, 1056,  927,  772, 1180, 1250, 1443, 1481, 1189, 1060,  591,
   841,  720,  728],
 [ 529, 1041,  825,  624,  951, 1108,  799,  875, 1299, 1325, 1352, 1137,
  1368,  848,  616],
 [ 209,  399,  640,  497,  690,  765,  849,  717,  805,  761,  668,  401,
   597, 2383, 2255]],"
