grid_size,color_end
"5, 5",3
"5, 5",4
"5, 5",5
"5, 5",6
"5, 5",7
"5, 5",8
"5, 5",9
"5, 5",10
"5, 5",11
"5, 5",12
"5, 5",13
"5, 5",14
"5, 5",15
"5, 5",16
"5, 5",17
"5, 5",18
"5, 5",19
"5, 5",20
"5, 5",21
"5, 5",22
"5, 5",23
"5, 5",24
"5, 5",25
"5, 5",26
"5, 5",27
"5, 5",28
"5, 5",29
"5, 5",30
"10, 10",3
"10, 10",5
"10, 10",10
"10, 10",15
"10, 10",20
"10, 10",25
"10, 10",30
"10, 10",35
"10, 10",40
"10, 10",45
"10, 10",50
"10, 10",55
"10, 10",60
"10, 10",65
"10, 10",70
"10, 10",75
"10, 10",80
"10, 10",85
"10, 10",90
"10, 10",95
"10, 10",100
"10, 10",105
"10, 10",110
"15, 15",3
"15, 15",5
"15, 15",10
"15, 15",20
"15, 15",30
"15, 15",40
"15, 15",50
"15, 15",60
"15, 15",70
"15, 15",80
"15, 15",90
"15, 15",100
"15, 15",110
"15, 15",120
"15, 15",130
"15, 15",140
"15, 15",150
"15, 15",160
"15, 15",170
"15, 15",180
"15, 15",190
"15, 15",200
"15, 15",210
"15, 15",220
"15, 15",230
"20, 20",3
"20, 20",5
"20, 20",10
"20, 20",30
"20, 20",50
"20, 20",70
"20, 20",90
"20, 20",110
"20, 20",130
"20, 20",150
"20, 20",170
"20, 20",190
"20, 20",210
"20, 20",230
"20, 20",250
"20, 20",270
"20, 20",290
"20, 20",310
"20, 20",330
"20, 20",350
"20, 20",370
"20, 20",390
"20, 20",410
