Grid Size,Number of Colors,Average Number of Regenerations until valid board generation,Average Number of Moves until Shuffle occurs,Average Number of Times Deadlock Occurred,Average Score per Move,Average Number of Possible Moves per Configuration,Average Number of Avalanche matches occurred
"(5, 5)",4,3.7,58.82352941,1.7,4.718,4.924,42.2
"(5, 5)",6,0.6,5.586592179,17.9,3.88,4.575,27.2
"(5, 5)",8,0.9,2.433090024,41.1,3.443,4.472,17.8
"(5, 5)",10,1,1.237623762,80.8,3.215,4.998,14.7
"(5, 5)",12,1.1,0.740740741,135,3.225,5.372,14.8
"(5, 5)",14,1,0.320718409,311.8,3.145922747,4.932,12.4
"(5, 5)",16,2.6,0.176522507,566.5,3.078692494,4.228,9.8
"(5, 5)",18,1.3,0.091182639,1096.7,3.066371681,1.153,2.7
"(5, 5)",20,2.4,0.092114959,1085.6,3.095541401,0.898,2.5
"(5, 5)",22,1.8,0.094571591,1057.4,3,0.664,1.4
"(7, 7)",4,23.7,inf,0,5.889,11.113,65.8
"(7, 7)",6,5.6,37.03703704,2.7,4.147,6.653,30.2
"(7, 7)",8,1.7,9.523809524,10.5,3.556,6.592,17.2
"(7, 7)",10,0.5,4.081632653,24.5,3.433,9.167,17.9
"(7, 7)",12,0.3,2.793296089,35.8,3.33,8.778,15.3
"(7, 7)",14,1.3,1.964636542,50.9,3.198,9.697,14.1
"(7, 7)",16,0.5,1.436781609,69.6,3.189,10.101,13.8
"(7, 7)",18,1,1.03626943,96.5,3.173,10.843,14
"(7, 7)",20,1.3,0.779423227,128.3,3.087,10.536,11.7
"(7, 7)",22,0.4,0.62774639,159.3,3.126,10.215,12.7
"(7, 7)",24,1.6,0.504286435,198.3,3.083,12.456,13.9
"(7, 7)",26,1,0.394477318,253.5,3.074,11.848,13.6
"(7, 7)",28,1.5,0.315258512,317.2,3.062,10.907,12.7
"(7, 7)",30,1.2,0.260416667,384,3.058,10.092,11.2
"(7, 7)",32,1.7,0.20189784,495.3,3.044,10.544,11.7
"(7, 7)",34,1.2,0.134517084,743.4,3.034870641,8.57,9.2
"(7, 7)",36,3,0.107886503,926.9,3.019851117,10.265,10.9
"(7, 7)",38,1.4,0.081953778,1220.2,3.04622871,4.183,4.5
"(7, 7)",40,2.9,0.076875769,1300.8,3.01910828,4.145,4.3
"(7, 7)",42,3.2,0.079151496,1263.4,3.026086957,1.998,2.2
"(7, 7)",44,4.5,0.084983428,1176.7,3.038461538,1.542,1.8
"(10, 10)",5,318.3,inf,0,5.223333333,14.76,48.7
"(10, 10)",10,2.9,15.38461538,6.5,3.542,11.994,16.9
"(10, 10)",15,1.6,5.025125628,19.9,3.308,16.391,13.1
"(10, 10)",20,0.3,2.34741784,42.6,3.191,18.874,12.1
"(10, 10)",25,0.7,1.488095238,67.2,3.129,20.68,12.1
"(10, 10)",30,0.5,0.931098696,107.4,3.088,21.096,12
"(10, 10)",35,0.3,0.70323488,142.2,3.035,22.01,11.4
"(10, 10)",40,1.6,0.515729758,193.9,3.041,20.537,10.6
"(10, 10)",45,1.9,0.378931413,263.9,3.033,22.687,11.7
"(10, 10)",50,2.6,0.273897562,365.1,3.022,22.68,11.7
"(10, 10)",55,3.1,0.231481481,432,3.029,21.436,11.2
"(10, 10)",60,2.9,0.18615041,537.2,3.016,21.03,10.3
"(10, 10)",65,2.5,0.133779264,747.5,3.017,19.993,9.8
"(10, 10)",70,2.1,0.099690958,1003.1,3.009,18.611,9.6
"(10, 10)",75,4.8,0.079095151,1264.3,3.014,20.974,10.3
"(10, 10)",80,4.7,0.047094283,2123.4,3.015402844,21.158,11.1
"(10, 10)",85,3.8,0.042506163,2352.6,3,11.512,5.6
"(10, 10)",90,12.7,0.037831499,2643.3,3,14.59,6.8
"(10, 10)",95,6.2,0.043565392,2295.4,3,7.614,3.6
"(10, 10)",100,15.2,0.05186453,1928.1,3,4.391,2
"(15, 15)",5,1000,inf,0,0,0,0
"(15, 15)",10,31.3,58.82352941,1.7,3.785,16.826,20
"(15, 15)",15,6,14.70588235,6.8,3.423,24.976,12.8
"(15, 15)",20,0.7,7.092198582,14.1,3.359,38.016,14.7
"(15, 15)",25,0.4,5,20,3.166,35.476,10.1
"(15, 15)",30,1.3,2.865329513,34.9,3.156,49.27,13
"(15, 15)",35,0.6,2.074688797,48.2,3.097,41.913,10.8
"(15, 15)",40,0.6,1.686340641,59.3,3.06,47.824,11.6
"(15, 15)",45,1.5,1.128668172,88.6,3.05,43.205,10.1
"(15, 15)",50,0.8,0.907441016,110.2,3.05,41.385,10
"(15, 15)",55,0.7,0.803212851,124.5,3.063,51.243,11.8
"(15, 15)",60,0.7,0.665335995,150.3,3.028,54.03,11.7
"(15, 15)",65,1.4,0.575373993,173.8,3.03,48.664,11.2
"(15, 15)",70,2.6,0.459770115,217.5,3.037,51.871,11
"(15, 15)",75,2.1,0.39698293,251.9,3.032,47.429,10.9
"(15, 15)",80,1.3,0.313577924,318.9,3.028,47.729,11.1
