Grid Size,Number of Colors,Total No. of Regenerations until valid board generation,Total No. of Times Matches Occurred during init,Total No. of Deadlocks during init,Total No. of Times Game Started,Total No. of Shuffles/Deadlocks Occurred,Average No. of Moves until Shuffle occurs,Total score per Game Setting,Total Valid Moves Made,Total No. of Possible/Playable Moves,Total No. of Avalanche Matches,Total Moves Available per Game Setting,Experiment Repeat
"(5, 5)",3,151,143,8,10,0,inf,13474,1000,12480,1859,100,10
"(5, 5)",4,35,27,8,10,0,inf,6446,1000,7195,776,100,10
"(5, 5)",5,17,11,6,10,23,43.47826087,5011,1000,4925,494,100,10
"(5, 5)",6,12,6,6,10,71,14.08450704,4056,1000,4487,300,100,10
"(5, 5)",7,11,7,4,10,158,6.329113924,3790,1000,4389,246,100,10
"(5, 5)",8,7,3,4,10,283,3.533568905,3518,1000,4652,193,100,10
"(5, 5)",9,11,4,7,10,418,2.392344498,3466,1000,4773,193,100,10
"(5, 5)",10,5,2,3,10,591,1.692047377,3378,1000,5001,181,100,10
"(5, 5)",11,13,2,11,10,884,1.131221719,3306,1000,5280,169,100,10
"(5, 5)",12,13,1,12,10,1040,0.961538462,3213,1000,5459,157,100,10
"(5, 5)",13,20,0,20,10,1373,0.728332119,3163,1000,4867,132,100,10
"(5, 5)",14,25,1,24,10,2638,0.370735406,3107,978,4797,129,100,10
"(5, 5)",15,27,0,27,10,2880,0.321527778,2880,926,4864,124,100,10
"(5, 5)",16,54,1,53,10,6013,0.122900383,2286,739,4195,102,100,10
"(5, 5)",17,66,1,65,10,9061,0.032005297,900,290,1505,38,100,10
"(5, 5)",18,115,1,114,10,10217,0.02828619,896,289,1248,33,100,10
"(5, 5)",19,133,2,131,10,10443,0.011586709,369,121,629,14,100,10
"(5, 5)",20,278,3,275,10,10115,0.002273851,69,23,57,1,100,10
"(5, 5)",21,414,4,410,10,10048,0.001393312,42,14,83,2,100,10
"(5, 5)",22,1013,0,1013,10,10029,0.00119653,36,12,44,1,100,10
"(5, 5)",23,1988,0,1988,10,10000,0.001,30,10,10,0,100,10
"(5, 5)",24,10000,0,10000,0,0,inf,0,0,0,0,100,10
"(5, 5)",25,10000,0,10000,0,0,inf,0,0,0,0,100,10"(7, 7)",3,5067,5060,7,7,0,inf,20123,700,21427,2415,100,10
"(7, 7)",5,80,71,9,10,2,500.0,5908,1000,10336,673,100,10
"(7, 7)",7,17,9,8,10,27,37.03703703703704,4140,1000,5560,304,100,10
"(7, 7)",9,10,5,5,10,111,9.00900900900901,3594,1000,7392,190,100,10
"(7, 7)",11,7,2,5,10,222,4.504504504504505,3422,1000,9405,163,100,10
"(7, 7)",13,1,0,1,10,389,2.570694087403599,3253,1000,10069,150,100,10
"(7, 7)",15,4,1,3,10,552,1.8115942028985508,3219,1000,9326,132,100,10
"(7, 7)",17,8,2,6,10,723,1.3831258644536653,3170,1000,9188,128,100,10
"(7, 7)",19,8,0,8,10,999,1.001001001001001,3128,1000,8565,109,100,10
"(7, 7)",21,11,0,11,10,1306,0.7656967840735069,3088,1000,11372,132,100,10
"(7, 7)",23,16,3,13,10,1642,0.6090133982947625,3099,1000,10707,115,100,10
"(7, 7)",25,23,1,22,10,2105,0.4750593824228028,3067,1000,9527,109,100,10
"(7, 7)",27,71,2,69,10,2701,0.3702332469455757,3062,1000,10674,116,100,10
"(7, 7)",29,43,0,43,10,3244,0.3082614056720099,3062,1000,10473,117,100,10
"(7, 7)",31,55,1,54,10,3849,0.2598077422707197,3051,1000,9898,107,100,10
"(7, 7)",33,89,1,88,10,7077,0.10046629927935566,2165,711,7726,90,100,10
"(7, 7)",35,172,4,168,10,7350,0.10965986394557824,2438,806,8760,85,100,10
"(7, 7)",37,235,3,232,10,11456,0.03718575418994413,1288,426,3824,40,100,10
"(7, 7)",39,168,1,167,10,10470,0.0030563514804202484,96,32,264,3,100,10
"(7, 7)",41,375,2,373,10,10349,0.0016426707894482558,51,17,168,1,100,10
"(7, 7)",43,1126,3,1123,10,10182,0.0017678255745433118,54,18,18,0,100,10
"(7, 7)",45,1890,0,1890,10,10000,0.001,30,10,10,0,100,10
"(7, 7)",47,7141,0,7141,5,5000,0.001,15,5,5,0,100,10
"(7, 7)",49,10000,0,10000,0,0,inf,0,0,0,0,100,10
"(10, 10)",3,10000,10000,0,0,0,inf,0,0,0,0,100,10
"(10, 10)",5,2329,2320,9,9,0,inf,6757,900,22875,875,100,10
"(10, 10)",10,43,38,5,10,47,21.27659574468085,3625,1000,10318,187,100,10
"(10, 10)",15,6,2,4,10,182,5.4945054945054945,3332,1000,16100,146,100,10
"(10, 10)",20,8,2,6,10,399,2.506265664160401,3220,1000,18297,127,100,10
"(10, 10)",25,9,0,9,10,628,1.5923566878980893,3112,1000,19536,116,100,10
"(10, 10)",30,8,2,6,10,968,1.0330578512396693,3048,1000,19519,105,100,10
"(10, 10)",35,15,1,14,10,1391,0.7189072609633357,3065,1000,22867,120,100,10
