Grid Size,Max Colors,Actual colors,Total User Moves count,Total deterministic score,Total Avalanche count,Total non-deterministic score,Total score,Selected Move,Move Score,Avalanche per selected move,Total Moves Available per Game Setting,Experiment Repeat
"(7, 7)",5,5,1,3,0,0,3,"[(0, 3), (1, 3)]",3,0,50,100
"(7, 7)",5,5,2,6,1,3,9,"[(4, 4), (5, 4)]",6,1,50,100
"(7, 7)",5,5,3,9,1,3,12,"[(0, 4), (0, 5)]",3,0,50,100
"(7, 7)",5,5,4,12,1,3,15,"[(4, 2), (4, 3)]",3,0,50,100
"(7, 7)",5,5,5,15,1,3,18,"[(4, 5), (4, 6)]",3,0,50,100
"(7, 7)",5,5,6,18,1,3,21,"[(0, 3), (1, 3)]",3,0,50,100
"(7, 7)",5,5,7,21,2,6,27,"[(4, 4), (5, 4)]",6,1,50,100
"(7, 7)",5,5,8,24,6,21,45,"[(1, 5), (2, 5)]",18,4,50,100
"(7, 7)",5,5,9,27,6,21,48,"[(2, 2), (2, 3)]",3,0,50,100
"(7, 7)",5,5,10,33,6,21,54,"[(1, 3), (2, 3)]",6,0,50,100
"(7, 7)",5,5,11,36,6,21,57,"[(0, 4), (1, 4)]",3,0,50,100
"(7, 7)",5,5,12,39,6,21,60,"[(2, 2), (3, 2)]",3,0,50,100
"(7, 7)",5,5,13,42,6,21,63,"[(3, 2), (4, 2)]",3,0,50,100
"(7, 7)",5,5,14,45,7,24,69,"[(2, 6), (3, 6)]",6,1,50,100
"(7, 7)",5,5,15,48,7,24,72,"[(0, 1), (0, 2)]",3,0,50,100
"(7, 7)",5,5,16,51,8,27,78,"[(3, 2), (3, 3)]",6,1,50,100
"(7, 7)",5,5,17,54,9,33,87,"[(3, 3), (3, 4)]",9,1,50,100
"(7, 7)",5,5,18,57,9,33,90,"[(3, 6), (4, 6)]",3,0,50,100
"(7, 7)",5,5,19,61,9,33,94,"[(2, 3), (2, 4)]",4,0,50,100
"(7, 7)",5,5,20,64,9,33,97,"[(0, 1), (0, 2)]",3,0,50,100
"(7, 7)",5,5,21,67,9,33,100,"[(0, 4), (1, 4)]",3,0,50,100
