Grid Size,Max Colors,Actual Colors,Total No. of Regenerations until valid board generation,Avg No. of Regenerations until valid board generation,Total No. of Times Matches Occurred during init,Avg No. of Times Matches Occurred during init,Total No. of Deadlocks during init,Avg No. of Deadlocks during init,Total No. of Times Game Started,Avg No. of Times Game Started,Probability that the game will start,Total No. of Shuffles/Deadlocks Occurred,Avg No. of Shuffles/Deadlocks Occurred,Avg No. of Shuffles/Deadlocks Occurred per move,Avg No. of Moves until Shuffle occurs per game setting,Total score per Game Setting,Avg score per Game Setting,Total Valid Moves Made,Avg Valid Moves Made,Total No. of Possible/Playable Moves,Avg No. of Possible/Playable Moves per configuration,Total No. of Avalanche Matches,Avg No. of Avalanche Matches,Total Moves Available per Game Setting,Experiment Repeat
"(5, 5)",3,3,166,16.6,157,15.7,9,0.9,10,1,0.056818182,0,0,0,inf,14653,1465.3,1000,100,12724,12.724,6526,652.6,100,10
"(5, 5)",4,4,43,4.3,35,3.5,8,0.8,10,1,0.188679245,0,0,0,inf,3867,386.7,1000,100,7387,7.387,2362,236.2,100,10
"(5, 5)",5,5,17,1.7,10,1,7,0.7,10,1,0.37037037,17,1.7,0.017,58.82352941,2219,221.9,1000,100,5183,5.183,1357,135.7,100,10
"(5, 5)",6,6,13,1.3,9,0.9,4,0.4,10,1,0.434782609,64,6.4,0.064,15.625,1583,158.3,1000,100,4383,4.383,817,81.7,100,10
"(5, 5)",7,7,6,0.6,0,0,6,0.6,10,1,0.625,164,16.4,0.164,6.097560976,1384,138.4,1000,100,4285,4.285,672,67.2,100,10
"(5, 5)",8,8,6,0.6,1,0.1,5,0.5,10,1,0.625,269,26.9,0.269,3.717472119,1344,134.4,1000,100,4343,4.343,634,63.4,100,10
"(5, 5)",9,7,7,0.7,1,0.1,6,0.6,10,1,0.588235294,368,36.8,0.368,2.717391304,1252,125.2,1000,100,4717,4.717,595,59.5,100,10
"(5, 5)",10,10,18,1.8,6,0.6,12,1.2,10,1,0.357142857,573,57.3,0.573,1.745200698,1198,119.8,1000,100,4821,4.821,477,47.7,100,10
"(5, 5)",11,10,6,0.6,0,0,6,0.6,10,1,0.625,748,74.8,0.748,1.336898396,1168,116.8,1000,100,4834,4.834,448,44.8,100,10
"(5, 5)",12,10,4,0.4,1,0.1,3,0.3,10,1,0.714285714,998,99.8,0.998,1.002004008,1146,114.6,1000,100,5149,5.149,437,43.7,100,10
