Grid Size,Max Colors,Move Position / Row,Avalanche count,Score per Move
"(5, 5)",4,0,0.558208955,5.029850746
"(5, 5)",4,1,0.670520231,5.867052023
"(5, 5)",4,2,0.768229167,6.5859375
"(5, 5)",4,3,0.933944954,7.126605505
"(5, 5)",4,4,0.828220859,6.349693252
"(5, 5)",5,0,0.248041775,3.908616188
"(5, 5)",5,1,0.522807018,5.019298246
"(5, 5)",5,2,0.481392557,4.99759904
"(5, 5)",5,3,0.526522593,4.960707269
"(5, 5)",5,4,0.468164794,4.786516854
"(5, 5)",8,0,0.209359606,3.450738916
"(5, 5)",8,1,0.176043557,3.470054446
"(5, 5)",8,2,0.210596026,3.688741722
"(5, 5)",8,3,0.254473161,3.745526839
"(5, 5)",8,4,0.335463259,3.75399361
"(5, 5)",10,0,0.153061224,3.265306122
"(5, 5)",10,1,0.163636364,3.334545455
"(5, 5)",10,2,0.143742255,3.371747212
"(5, 5)",10,3,0.177514793,3.380670611
"(5, 5)",10,4,0.209230769,3.350769231
"(7, 7)",5,0,0.38,4.444
"(7, 7)",5,1,0.45915493,4.828169014
"(7, 7)",5,2,0.57790927,5.483234714
"(7, 7)",5,3,0.629554656,5.593117409
"(7, 7)",5,4,0.782110092,6.46559633
"(7, 7)",5,5,0.811074919,6.35504886
"(7, 7)",5,6,0.790322581,6.408602151
"(7, 7)",8,0,0.172661871,3.528776978
"(7, 7)",8,1,0.19,3.595
"(7, 7)",8,2,0.246956522,3.822608696
"(7, 7)",8,3,0.219178082,3.780821918
"(7, 7)",8,4,0.294871795,4.017094017
"(7, 7)",8,5,0.327526132,4.135888502
"(7, 7)",8,6,0.323741007,4.115107914
"(7, 7)",10,0,0.163822526,3.389078498
"(7, 7)",10,1,0.185279188,3.530456853
"(7, 7)",10,2,0.154296875,3.447265625
"(7, 7)",10,3,0.181425486,3.56587473
"(7, 7)",10,4,0.169154229,3.60199005
"(7, 7)",10,5,0.179401993,3.531561462
"(7, 7)",10,6,0.208333333,3.476190476
"(7, 7)",12,0,0.138709677,3.203225806
"(7, 7)",12,1,0.122994652,3.248663102
"(7, 7)",12,2,0.124045802,3.286259542
"(7, 7)",12,3,0.135746606,3.309954751
"(7, 7)",12,4,0.182278481,3.458227848
"(7, 7)",12,5,0.166666667,3.448979592
"(7, 7)",12,6,0.227272727,3.443181818
"(7, 7)",15,0,0.155555556,3.155555556
"(7, 7)",15,1,0.127027027,3.181081081
"(7, 7)",15,2,0.090909091,3.132231405
"(7, 7)",15,3,0.131147541,3.276346604
"(7, 7)",15,4,0.131004367,3.268558952
"(7, 7)",15,5,0.14,3.186666667
"(7, 7)",15,6,0.23902439,3.331707317
"(7, 7)",20,0,0.163120567,3.106382979
"(7, 7)",20,1,0.116959064,3.067251462
"(7, 7)",20,2,0.098501071,3.145610278
"(7, 7)",20,3,0.095918367,3.120408163
"(7, 7)",20,4,0.13064133,3.16152019
"(7, 7)",20,5,0.098802395,3.092814371
"(7, 7)",20,6,0.231155779,3.201005025
"(10, 10)",5,0,0.333333333,4.273809524
"(10, 10)",5,1,0.482758621,5.159482759
"(10, 10)",5,2,0.703821656,6.143312102
"(10, 10)",5,3,0.758122744,6.198555957
"(10, 10)",5,4,1.086466165,7.962406015
"(10, 10)",5,5,1.033333333,7.953333333
"(10, 10)",5,6,1.119133574,8.433212996
"(10, 10)",5,7,1.110714286,8.328571429
"(10, 10)",5,8,1.278761062,9.115044248
"(10, 10)",5,9,1.330508475,9.161016949
"(10, 10)",8,0,0.127272727,3.422727273
"(10, 10)",8,1,0.189285714,3.660714286
"(10, 10)",8,2,0.1769437,3.699731903
"(10, 10)",8,3,0.263157895,4.002770083
"(10, 10)",8,4,0.253012048,3.972891566
"(10, 10)",8,5,0.254612546,3.970479705
"(10, 10)",8,6,0.316742081,4.262443439
