Grid Size,Max Colors,Actual colors,Total User Moves count,Total deterministic score,Total Avalanche count,Total non-deterministic score,Mean non-deterministic score,Total score,Total Moves Available per MatchThreeGame Setting,Experiment Repeat
"(5, 5)",3,3,100000,900000,257623,1387677,13.87677,2287677,1,100000
"(5, 5)",4,4,100000,300000,49802,165055,1.65055,465055,1,100000
"(5, 5)",5,5,100000,300000,11650,36728,0.36728,336728,1,100000
"(5, 5)",6,6,100000,300000,5943,18443,0.18443,318443,1,100000
"(5, 5)",7,7,100000,300000,5899,18270,0.1827,318270,1,100000
"(5, 5)",8,8,100000,300000,4464,13818,0.13818,313818,1,100000
"(5, 5)",9,9,100000,300000,2537,7741,0.07741,307741,1,100000
"(5, 5)",10,10,100000,300000,2907,8939,0.08939,308939,1,100000
"(5, 5)",11,9,100000,300000,9845,30436,0.30436,330433,1,100000
"(5, 5)",12,12,100000,300000,1302,3970,0.0397,303970,1,100000
"(5, 5)",13,13,100000,300000,1178,3580,0.0358,303580,1,100000
"(5, 5)",14,13,100000,300000,1002,3043,0.03043,303043,1,100000
"(5, 5)",15,12,100000,300000,8161,24624,0.24624,324624,1,100000
"(5, 5)",16,14,100000,300000,1113,3396,0.03396,303396,1,100000
"(5, 5)",17,12,100000,300000,679,2063,0.02063,302063,1,100000
"(5, 5)",18,16,100000,300000,665,2024,0.02024,302024,1,100000
"(5, 5)",19,15,100000,300000,504,1533,0.01533,301533,1,100000
"(5, 5)",20,12,100000,300000,513,1552,0.01552,301552,1,100000
"(5, 5)",21,15,100000,300000,5296,15981,0.15981,315981,1,100000
"(5, 5)",22,15,100000,300000,603,1826,0.01826,301826,1,100000
"(5, 5)",23,17,100000,300000,425,1287,0.01287,301287,1,100000
"(5, 5)",24,16,100000,300000,355,1074,0.01074,301074,1,100000
"(5, 5)",25,17,100000,300000,315,952,0.00952,300952,1,100000
"(5, 5)",26,17,100000,300000,432,1307,0.01307,301307,1,100000
"(5, 5)",27,16,100000,300000,281,846,0.00846,300846,1,100000
"(5, 5)",28,16,100000,300000,360,1091,0.01091,301091,1,100000
"(5, 5)",29,17,100000,300000,362,1094,0.01094,301094,1,100000
"(5, 5)",30,17,100000,300000,322,972,0.00972,300972,1,100000
