Grid Size,Number of Colors,Total No. of Regenerations until valid board generation,Avg No. of Regenerations until valid board generation per game setting,Total No. of Times Matches Occurred during init,Avg No. of Times Matches Occurred during init per game setting,Total No. of Deadlocks during init,Avg No. of Deadlocks during init per game setting,Total No. of Times Game Started,Avg No. of Times Game Started per game setting,Total No. of Shuffles/Deadlocks Occurred,Avg No. of Shuffles/Deadlocks Occurred per game setting,Average No. of Moves until Shuffle occurs per game setting,Total score,Avg score per Game Setting,Total Valid Moves Made,Avg No. of Valid Moves Made,Avg Score per Move,Total No. of Possible/Playable Moves,Avg No. of Possible/Playable Moves per configuration,Total No. of Avalanche Matches,Avg No. of Avalanche Matches per game setting,Probability that the game will not start,Total Moves Available per Game Setting,Experiment Repeat
"(5, 5)",3,151,15.1,143,14.3,8,0.8,10,1,0,0,inf,13474,1347.4,1000,100,13.474,12480,12.48,1859,185.9,0.937888199,100,10
"(5, 5)",4,35,3.5,27,2.7,8,0.8,10,1,0,0,inf,6446,644.6,1000,100,6.446,7195,7.195,776,77.6,0.777777778,100,10
"(5, 5)",5,12,1.2,7,0.7,0,0,10,1,17,1.7,58.82352941,4646,464.6,1000,100,4.646,4731,4.731,400,40,0.545454545,100,10
"(5, 5)",6,20,2,13,1.3,1,0.1,10,1,78,7.8,12.82051282,3959,395.9,1000,100,3.959,4074,4.074,262,26.2,0.666666667,100,10
"(5, 5)",7,8,0.8,4,0.4,0,0,10,1,173,17.3,5.780346821,3780,378,1000,100,3.78,4591,4.591,246,24.6,0.444444444,100,10
"(5, 5)",8,7,0.7,2,0.2,1,0.1,10,1,263,26.3,3.802281369,3606,360.6,1000,100,3.606,4502,4.502,213,21.3,0.411764706,100,10
"(5, 5)",9,8,0.8,2,0.2,0,0,10,1,435,43.5,2.298850575,3442,344.2,1000,100,3.442,5001,5.001,186,18.6,0.444444444,100,10
"(5, 5)",10,10,1,5,0.5,2,0.2,10,1,585,58.5,1.709401709,3343,334.3,1000,100,3.343,4904,4.904,171,17.1,0.5,100,10
"(5, 5)",11,6,0.6,0,0,2,0.2,10,1,787,78.7,1.27064803,3328,332.8,1000,100,3.328,5647,5.647,174,17.4,0.375,100,10
"(5, 5)",12,13,1.3,0,0,9,0.9,10,1,1114,111.4,0.897666068,3188,318.8,1000,100,3.188,5386,5.386,148,14.8,0.565217391,100,10
"(5, 5)",13,14,1.4,1,0.1,7,0.7,10,1,1277,127.7,0.783085356,3185,318.5,1000,100,3.185,5133,5.133,134,13.4,0.583333333,100,10
"(5, 5)",14,33,3.3,1,0.1,23,2.3,10,1,2707,270.7,0.35205024,3027,302.7,953,95.3,3.176285414,5710,5.991605456,154,15.4,0.76744186,100,10
"(5, 5)",15,76,7.6,3,0.3,65,6.5,10,1,2271,227.1,0.440334654,3140,314,1000,100,3.14,5086,5.086,134,13.4,0.88372093,100,10
"(5, 5)",16,27,2.7,0,0,20,2,10,1,8308,830.8,0.055127588,1407,140.7,458,45.8,3.072052402,2598,5.672489083,57,5.7,0.72972973,100,10
"(5, 5)",17,110,11,2,0.2,98,9.8,10,1,11457,1145.7,0.035873265,1267,126.7,411,41.1,3.082725061,2374,5.776155718,50,5,0.916666667,100,10
"(5, 5)",18,120,12,4,0.4,107,10.7,10,1,9913,991.3,0.019973772,614,61.4,198,19.8,3.101010101,1241,6.267676768,34,3.4,0.923076923,100,10
"(5, 5)",19,64,6.4,0,0,56,5.6,10,1,10179,1017.9,0.003733176,114,11.4,38,3.8,3,218,5.736842105,4,0.4,0.864864865,100,10
"(5, 5)",20,233,23.3,2,0.2,221,22.1,10,1,10157,1015.7,0.003544354,108,10.8,36,3.6,3,154,4.277777778,2,0.2,0.958847737,100,10
